phone,IMEI

13166753339,865888044138130
13166753340,866982035633660
13166753341,864854041486490
13166753352,863143043894280
13166753353,865129045965360
13166753358,869964038979500
13166753359,862538032804140
13166753361,866939043705690
13166753362,868048040067130
13166753363,862006047568130
13166753367,865861046852430
13166753368,869175031087460
13166753371,353054100617300
13166753373,864555036535000
13166753379,865140041747570
13166753382,861514045530650
13166753390,869386048019150
13166753393,864078039234450
13166753395,862256043188990
13166753396,869587040030050
13166753405,864371041639120
13166753408,868586045434780
13166753411,863062035841730
13166753413,868971041554270
13166753420,354439062797950
13166753423,865736034688020
13166753425,869454033671410
13166753427,869472012318210
13166753428,864702040613470
13166753433,862374036344900
13166753436,867550033934470
13166753440,864535039864010
13166753442,860741043453050
13166753444,357392094359670
13166753445,864546035999430
13166753450,868808025927300
13166753451,862679034241040
13166753455,864135045827110
13166753457,866201044390500
13166753462,868233039178840
13166753466,860482031303470
